﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการใช้บริการอินเทอร์เน็ต,26 - 30 คน,15456.14,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการใช้บริการอินเทอร์เน็ต,31 - 50 คน,38304.99,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการใช้บริการอินเทอร์เน็ต,51 - 200 คน,125712.52,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการใช้บริการอินเทอร์เน็ต,มากกว่า 200 คน,169915.17,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการบำรุงรักษาอุปกรณ์คอมพิวเตอร์,รวม,537282.51,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการบำรุงรักษาอุปกรณ์คอมพิวเตอร์,1 - 15 คน,47940.18,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการบำรุงรักษาอุปกรณ์คอมพิวเตอร์,16 - 25 คน,19766.9,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการบำรุงรักษาอุปกรณ์คอมพิวเตอร์,26 - 30 คน,9825.39,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการบำรุงรักษาอุปกรณ์คอมพิวเตอร์,31 - 50 คน,22122.69,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการบำรุงรักษาอุปกรณ์คอมพิวเตอร์,51 - 200 คน,99300.05,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการบำรุงรักษาอุปกรณ์คอมพิวเตอร์,มากกว่า 200 คน,338327.32,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าขนส่งสินค้า (ที่ขาย),รวม,94630.37,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าขนส่งสินค้า (ที่ขาย),1 - 15 คน,26556.09,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าขนส่งสินค้า (ที่ขาย),16 - 25 คน,2361.62,พันบาท,สำนักงานสถิติแห่งชาติ
